price,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,cylindernumber,enginetype,fuelsystem,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
13495,gas,std,two,convertible,rwd,front,four,dohc,mpfi,3,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27
16500,gas,std,two,convertible,rwd,front,four,dohc,mpfi,3,88.6,168.8,64.1,48.8,2548,130,3.47,2.68,9,111,5000,21,27
16500,gas,std,two,hatchback,rwd,front,six,ohcv,mpfi,1,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9,154,5000,19,26
13950,gas,std,four,sedan,fwd,front,four,ohc,mpfi,2,99.8,176.6,66.2,54.3,2337,109,3.19,3.4,10,102,5500,24,30
17450,gas,std,four,sedan,4wd,front,five,ohc,mpfi,2,99.4,176.6,66.4,54.3,2824,136,3.19,3.4,8,115,5500,18,22
15250,gas,std,two,sedan,fwd,front,five,ohc,mpfi,2,99.8,177.3,66.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25
17710,gas,std,four,sedan,fwd,front,five,ohc,mpfi,1,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25
18920,gas,std,four,wagon,fwd,front,five,ohc,mpfi,1,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25
23875,gas,turbo,four,sedan,fwd,front,five,ohc,mpfi,1,105.8,192.7,71.4,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20
17859.167,gas,turbo,two,hatchback,4wd,front,five,ohc,mpfi,0,99.5,178.2,67.9,52,3053,131,3.13,3.4,7,160,5500,16,22
16430,gas,std,two,sedan,rwd,front,four,ohc,mpfi,2,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29
16925,gas,std,four,sedan,rwd,front,four,ohc,mpfi,0,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29
20970,gas,std,two,sedan,rwd,front,six,ohc,mpfi,0,101.2,176.8,64.8,54.3,2710,164,3.31,3.19,9,121,4250,21,28
21105,gas,std,four,sedan,rwd,front,six,ohc,mpfi,0,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9,121,4250,21,28
24565,gas,std,four,sedan,rwd,front,six,ohc,mpfi,1,103.5,189,66.9,55.7,3055,164,3.31,3.19,9,121,4250,20,25
30760,gas,std,four,sedan,rwd,front,six,ohc,mpfi,0,103.5,189,66.9,55.7,3230,209,3.62,3.39,8,182,5400,16,22
41315,gas,std,two,sedan,rwd,front,six,ohc,mpfi,0,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8,182,5400,16,22
36880,gas,std,four,sedan,rwd,front,six,ohc,mpfi,0,110,197,70.9,56.3,3505,209,3.62,3.39,8,182,5400,15,20
5151,gas,std,two,hatchback,fwd,front,three,l,2bbl,2,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53
6295,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,94.5,155.9,63.6,52,1874,90,3.03,3.11,9.6,70,5400,38,43
6575,gas,std,four,sedan,fwd,front,four,ohc,2bbl,0,94.5,158.8,63.6,52,1909,90,3.03,3.11,9.6,70,5400,38,43
5572,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41
6377,gas,std,two,hatchback,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38
7957,gas,turbo,two,hatchback,fwd,front,four,ohc,mpfi,1,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30
6229,gas,std,four,hatchback,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38
6692,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38
7609,gas,std,four,sedan,fwd,front,four,ohc,2bbl,1,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38
8558,gas,turbo,two,sedan,fwd,front,four,ohc,mpfi,1,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30
8921,gas,std,four,wagon,fwd,front,four,ohc,2bbl,-1,103.3,174.6,64.6,59.8,2535,122,3.34,3.46,8.5,88,5000,24,30
12964,gas,turbo,two,hatchback,fwd,front,four,ohc,mfi,3,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7,145,5000,19,24
6479,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,2,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54
6855,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,2,86.6,144.6,63.9,50.8,1819,92,2.91,3.41,9.2,76,6000,31,38
5399,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,1,93.7,150,64,52.6,1837,79,2.91,3.07,10.1,60,5500,38,42
6529,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,1,93.7,150,64,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34
7129,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,1,93.7,150,64,52.6,1956,92,2.91,3.41,9.2,76,6000,30,34
7295,gas,std,four,sedan,fwd,front,four,ohc,1bbl,0,96.5,163.4,64,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34
7295,gas,std,four,wagon,fwd,front,four,ohc,1bbl,0,96.5,157.1,63.9,58.3,2024,92,2.92,3.41,9.2,76,6000,30,34
7895,gas,std,two,hatchback,fwd,front,four,ohc,1bbl,0,96.5,167.5,65.2,53.3,2236,110,3.15,3.58,9,86,5800,27,33
