car_ID,price,fueltype,fuelsystem,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
1,13495,gas,mpfi,std,two,convertible,rwd,front,dohc,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27
2,16500,gas,mpfi,std,two,convertible,rwd,front,dohc,88.6,168.8,64.1,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27
3,16500,gas,mpfi,std,two,hatchback,rwd,front,ohcv,94.5,171.2,65.5,52.4,2823,six,152,2.68,3.47,9,154,5000,19,26
4,13950,gas,mpfi,std,four,sedan,fwd,front,ohc,99.8,176.6,66.2,54.3,2337,four,109,3.19,3.4,10,102,5500,24,30
5,17450,gas,mpfi,std,four,sedan,4wd,front,ohc,99.4,176.6,66.4,54.3,2824,five,136,3.19,3.4,8,115,5500,18,22
6,15250,gas,mpfi,std,two,sedan,fwd,front,ohc,99.8,177.3,66.3,53.1,2507,five,136,3.19,3.4,8.5,110,5500,19,25
7,17710,gas,mpfi,std,four,sedan,fwd,front,ohc,105.8,192.7,71.4,55.7,2844,five,136,3.19,3.4,8.5,110,5500,19,25
8,18920,gas,mpfi,std,four,wagon,fwd,front,ohc,105.8,192.7,71.4,55.7,2954,five,136,3.19,3.4,8.5,110,5500,19,25
9,23875,gas,mpfi,turbo,four,sedan,fwd,front,ohc,105.8,192.7,71.4,55.9,3086,five,131,3.13,3.4,8.3,140,5500,17,20
10,17859.167,gas,mpfi,turbo,two,hatchback,4wd,front,ohc,99.5,178.2,67.9,52,3053,five,131,3.13,3.4,7,160,5500,16,22
11,16430,gas,mpfi,std,two,sedan,rwd,front,ohc,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29
12,16925,gas,mpfi,std,four,sedan,rwd,front,ohc,101.2,176.8,64.8,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29
13,20970,gas,mpfi,std,two,sedan,rwd,front,ohc,101.2,176.8,64.8,54.3,2710,six,164,3.31,3.19,9,121,4250,21,28
14,21105,gas,mpfi,std,four,sedan,rwd,front,ohc,101.2,176.8,64.8,54.3,2765,six,164,3.31,3.19,9,121,4250,21,28
15,24565,gas,mpfi,std,four,sedan,rwd,front,ohc,103.5,189,66.9,55.7,3055,six,164,3.31,3.19,9,121,4250,20,25
16,30760,gas,mpfi,std,four,sedan,rwd,front,ohc,103.5,189,66.9,55.7,3230,six,209,3.62,3.39,8,182,5400,16,22
17,41315,gas,mpfi,std,two,sedan,rwd,front,ohc,103.5,193.8,67.9,53.7,3380,six,209,3.62,3.39,8,182,5400,16,22
18,36880,gas,mpfi,std,four,sedan,rwd,front,ohc,110,197,70.9,56.3,3505,six,209,3.62,3.39,8,182,5400,15,20
19,5151,gas,2bbl,std,two,hatchback,fwd,front,l,88.4,141.1,60.3,53.2,1488,three,61,2.91,3.03,9.5,48,5100,47,53
20,6295,gas,2bbl,std,two,hatchback,fwd,front,ohc,94.5,155.9,63.6,52,1874,four,90,3.03,3.11,9.6,70,5400,38,43
21,6575,gas,2bbl,std,four,sedan,fwd,front,ohc,94.5,158.8,63.6,52,1909,four,90,3.03,3.11,9.6,70,5400,38,43
22,5572,gas,2bbl,std,two,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.41,68,5500,37,41
23,6377,gas,2bbl,std,two,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.8,1876,four,90,2.97,3.23,9.4,68,5500,31,38
24,7957,gas,mpfi,turbo,two,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.8,2128,four,98,3.03,3.39,7.6,102,5500,24,30
25,6229,gas,2bbl,std,four,hatchback,fwd,front,ohc,93.7,157.3,63.8,50.6,1967,four,90,2.97,3.23,9.4,68,5500,31,38
